college_name,state,cost_of_attendance,out_of_state_tuition_premium,tuition_free_threshold,average_aid_percentage,endowment_size,requires_css_profile,net_price_0_30k,net_price_30k_48k,net_price_48k_75k,net_price_75k_110k,net_price_110k_plus
Abilene Christian University,TX,59256,0,0,,,True,20285.0,21150.0,23012.0,27576.0,31763.0
Abilene Christian University-Undergraduate Online,TX,30295,0,0,,,True,24283.0,22852.0,21723.0,26586.0,
Abraham Baldwin Agricultural College,GA,13956,7320,0,,,False,4323.0,4299.0,6824.0,10489.0,11026.0
Academy College,MN,33874,0,0,,,True,,29015.0,24391.0,,33874.0
Academy of Art University,CA,48036,0,0,,,True,37668.0,36340.0,43874.0,43953.0,44082.0
Adams State University,CO,24352,12120,0,,,False,9947.0,10392.0,11921.0,15787.0,20274.0
Adelphi University,NY,63189,0,0,,,True,24095.0,24700.0,28681.0,32337.0,35672.0
Adrian College,MI,56003,0,0,,,True,19542.0,21571.0,24162.0,27166.0,28652.0
AdventHealth University,FL,38408,0,0,,,True,28845.0,30782.0,27569.0,35158.0,33900.0
Agnes Scott College,GA,63283,0,0,,,True,21467.0,21956.0,23697.0,25194.0,30054.0
Alabama A & M University,AL,27153,8610,0,,,False,16500.0,16387.0,19622.0,21680.0,20364.0
Alabama State University,AL,23586,8328,0,,,False,19711.0,21682.0,21508.0,21608.0,19031.0
Albany College of Pharmacy and Health Sciences,NY,54899,0,0,,,True,22404.0,22566.0,29395.0,31067.0,33753.0
Albany State University,GA,19333,11352,0,,,False,10693.0,11147.0,13785.0,16419.0,17324.0
Albertus Magnus College,CT,59407,0,0,,,True,35343.0,35537.0,36279.0,30273.0,31523.0
Albion College,MI,69986,0,0,,,True,10036.0,9772.0,12085.0,16656.0,24368.0
Albizu University-Miami,FL,28344,0,0,,,True,19745.0,22860.0,14652.0,,
Albizu University-San Juan,PR,18382,0,0,,,True,8880.0,9676.0,12050.0,18382.0,18382.0
Albright College,PA,43711,0,0,,,True,16345.0,16892.0,19741.0,21355.0,24947.0
Alcorn State University,MS,23751,0,0,,,False,12613.0,12344.0,16296.0,18244.0,17620.0
Alfred University,NY,57445,0,0,,,True,16512.0,15067.0,22125.0,28280.0,33388.0
Alice Lloyd College,KY,31200,0,0,,,True,17444.0,16447.0,17715.0,21757.0,19349.0
Allegheny College,PA,71348,0,0,,,True,18495.0,27718.0,13059.0,21357.0,30046.0
